Club;Season;Squad_Value_TM;Transfer_Expenditures;Transfer_Revenues;Net_Transfer_Balance;Total_Transfer_Activity;YoY_Squad_Value_Growth_%;SV_to_Spend_Ratio
Athletic Bilbao;2015/16;148.0;10.0;0.0;-10.0;10.0;0.0;14.8
Athletic Bilbao;2016/17;172.6;0.0;0.0;0.0;0.0;16.62;
Athletic Bilbao;2017/18;249.4;32.0;65.0;33.0;97.0;44.5;7.79
Athletic Bilbao;2018/19;234.25;33.65;80.0;46.35;113.65;-6.07;6.96
Athletic Bilbao;2019/20;211.75;0.0;0.0;0.0;0.0;-9.61;
Athletic Bilbao;2020/21;204.15;11.13;0.0;-11.13;11.13;-3.59;18.34
Athletic Bilbao;2021/22;226.05;0.0;0.0;0.0;0.0;10.73;
Athletic Bilbao;2022/23;222.45;0.0;0.0;0.0;0.0;-1.59;
Athletic Bilbao;2023/24;295.65;0.0;0.0;0.0;0.0;32.91;
Athletic Bilbao;2024/25;375.35;18.0;9.25;-8.75;27.25;26.96;20.85
Atlético Madrid;2015/16;418.5;119.0;152.0;33.0;271.0;0.0;3.52
Atlético Madrid;2016/17;515.8;78.8;44.0;-34.8;122.8;23.25;6.55
Atlético Madrid;2017/18;711.15;95.6;104.0;8.400000000000006;199.6;37.87;7.44
Atlético Madrid;2018/19;969.7;168.0;57.9;-110.1;225.9;36.36;5.77
Atlético Madrid;2019/20;720.15;247.35;316.3;68.95000000000002;563.65;-25.73;2.91
Atlético Madrid;2020/21;773.1;92.0;83.3;-8.700000000000003;175.3;7.35;8.4
Atlético Madrid;2021/22;661.8;85.7;22.75;-62.95;108.45;-14.4;7.72
Atlético Madrid;2022/23;534.3;29.5;28.25;-1.25;57.75;-19.27;18.11
Atlético Madrid;2023/24;458.45;56.5;103.1;46.599999999999994;159.6;-14.2;8.11
Atlético Madrid;2024/25;542.5;188.0;114.98;-73.02;302.98;18.33;2.89
Celta Vigo;2015/16;91.1;16.3;18.5;2.1999999999999993;34.8;0.0;5.59
Celta Vigo;2016/17;122.4;8.4;19.8;11.4;28.200000000000003;34.36;14.57
Celta Vigo;2017/18;173.05;26.8;13.2;-13.600000000000001;40.0;41.38;6.46
Celta Vigo;2018/19;234.1;30.0;35.7;5.700000000000003;65.7;35.28;7.8
Celta Vigo;2019/20;167.0;24.6;43.65;19.049999999999997;68.25;-28.66;6.79
Celta Vigo;2020/21;155.85;3.0;2.5;-0.5;5.5;-6.68;51.95
Celta Vigo;2021/22;120.0;10.02;1.8;-8.219999999999999;11.82;-23.0;11.98
Celta Vigo;2022/23;138.8;25.73;17.2;-8.530000000000001;42.93;15.67;5.39
Celta Vigo;2023/24;149.3;31.2;46.2;15.000000000000004;77.4;7.56;4.79
Celta Vigo;2024/25;130.9;11.2;20.5;9.3;31.7;-12.32;11.69
Deportivo Alavés;2015/16;11.1;0.06;0.0;-0.06;0.06;0.0;185.0
Deportivo Alavés;2016/17;85.4;6.33;0.0;-6.33;6.33;669.37;13.49
Deportivo Alavés;2017/18;74.8;12.7;7.5;-5.199999999999999;20.2;-12.41;5.89
Deportivo Alavés;2018/19;110.8;10.0;9.0;-1.0;19.0;48.13;11.08
Deportivo Alavés;2019/20;106.76;11.77;22.5;10.73;34.269999999999996;-3.65;9.07
Deportivo Alavés;2020/21;79.8;0.0;4.88;4.88;4.88;-25.25;
Deportivo Alavés;2021/22;65.35;1.6;3.5;1.9;5.1;-18.11;40.84
Deportivo Alavés;2022/23;36.08;0.0;0.75;0.75;0.75;-44.79;
Deportivo Alavés;2023/24;123.7;10.4;2.5;-7.9;12.9;242.85;11.89
Deportivo Alavés;2024/25;92.35;11.0;19.37;8.370000000000001;30.37;-25.34;8.4
FC Barcelona;2015/16;726.0;51.0;38.3;-12.700000000000003;89.3;0.0;14.24
FC Barcelona;2016/17;765.3;124.75;33.8;-90.95;158.55;5.41;6.13
FC Barcelona;2017/18;1094.0;388.1;232.5;-155.60000000000002;620.6;42.95;2.82
FC Barcelona;2018/19;1158.9;141.1;146.05;4.950000000000017;287.15;5.93;8.21
FC Barcelona;2019/20;930.27;304.0;154.4;-149.6;458.4;-19.73;3.06
FC Barcelona;2020/21;813.5;111.94;154.4;42.46000000000001;266.34000000000003;-12.55;7.27
FC Barcelona;2021/22;735.6;69.5;95.36;25.86;164.86;-9.58;10.58
FC Barcelona;2022/23;836.8;159.0;39.5;-119.5;198.5;13.76;5.26
FC Barcelona;2023/24;916.2;33.4;131.7;98.29999999999998;165.1;9.49;27.43
FC Barcelona;2024/25;1082.65;66.5;66.8;0.29999999999999716;133.3;18.17;16.28
Getafe CF;2015/16;49.1;0.27;4.1;3.8299999999999996;4.369999999999999;0.0;181.85
Getafe CF;2016/17;23.4;1.35;3.0;1.65;4.35;-52.34;17.33
Getafe CF;2017/18;65.6;12.9;1.6;-11.3;14.5;180.34;5.09
Getafe CF;2018/19;132.2;27.25;5.0;-22.25;32.25;101.52;4.85
Getafe CF;2019/20;175.45;21.5;11.25;-10.25;32.75;32.72;8.16
Getafe CF;2020/21;170.1;22.05;9.75;-12.3;31.8;-3.05;7.71
Getafe CF;2021/22;208.68;15.16;21.0;5.84;36.16;22.68;13.77
Getafe CF;2022/23;118.9;15.75;20.5;4.75;36.25;-43.02;7.55
Getafe CF;2023/24;133.01;11.0;7.04;-3.96;18.04;11.87;12.09
Getafe CF;2024/25;87.71;9.2;30.8;21.6;40.0;-34.06;9.53
RCD Espanyol;2015/16;62.2;4.45;15.2;10.75;19.65;0.0;13.98
RCD Espanyol;2016/17;80.8;18.4;6.0;-12.399999999999999;24.4;29.9;4.39
RCD Espanyol;2017/18;97.8;17.05;10.5;-6.550000000000001;27.55;21.04;5.74
RCD Espanyol;2018/19;174.7;22.1;30.8;8.7;52.900000000000006;78.63;7.9
RCD Espanyol;2019/20;156.05;61.5;61.0;-0.5;122.5;-10.68;2.54
RCD Espanyol;2020/21;80.0;2.76;9.7;6.9399999999999995;12.459999999999999;-48.73;28.99
RCD Espanyol;2021/22;131.6;6.0;0.0;-6.0;6.0;64.5;21.93
RCD Espanyol;2022/23;116.5;20.6;17.8;-2.8000000000000007;38.400000000000006;-11.47;5.66
RCD Espanyol;2023/24;57.43;3.7;33.3;29.599999999999998;37.0;-50.7;15.52
RCD Espanyol;2024/25;116.98;0.9;1.55;0.65;2.45;103.69;129.98
Real Betis;2015/16;56.4;8.85;1.05;-7.8;9.9;0.0;6.37
Real Betis;2016/17;84.2;20.9;8.0;-12.899999999999999;28.9;49.29;4.03
Real Betis;2017/18;132.25;38.5;27.07;-11.43;65.57;57.07;3.44
Real Betis;2018/19;290.75;47.0;49.3;2.299999999999997;96.3;119.85;6.19
Real Betis;2019/20;244.35;96.45;72.0;-24.450000000000003;168.45;-15.96;2.53
Real Betis;2020/21;207.7;0.0;43.7;43.7;43.7;-15.0;
Real Betis;2021/22;259.0;4.21;14.0;9.79;18.21;24.7;61.52
Real Betis;2022/23;246.4;27.4;14.75;-12.649999999999999;42.15;-4.86;8.99
Real Betis;2023/24;224.88;33.7;70.5;36.8;104.2;-8.73;6.67
Real Betis;2024/25;291.7;41.05;61.2;20.150000000000006;102.25;29.71;7.11
Real Madrid;2015/16;714.3;100.4;24.15;-76.25;124.55000000000001;0.0;7.11
Real Madrid;2016/17;802.9;30.0;37.5;7.5;67.5;12.4;26.76
Real Madrid;2017/18;955.35;40.5;132.5;92.0;173.0;18.99;23.59
Real Madrid;2018/19;896.1;164.75;136.1;-28.650000000000006;300.85;-6.2;5.44
Real Madrid;2019/20;913.75;361.3;136.8;-224.5;498.1;1.97;2.53
Real Madrid;2020/21;787.3;0.0;108.2;108.2;108.2;-13.84;
Real Madrid;2021/22;770.75;31.0;78.0;47.0;109.0;-2.1;24.86
Real Madrid;2022/23;923.45;80.0;99.15;19.150000000000006;179.15;19.81;11.54
Real Madrid;2023/24;1135.1;161.5;13.0;-148.5;174.5;22.92;7.03
Real Madrid;2024/25;1348.5;49.0;82.0;33.0;131.0;18.8;27.52
Real Sociedad;2015/16;119.4;26.1;1.0;-25.1;27.1;0.0;4.57
Real Sociedad;2016/17;156.45;21.63;11.0;-10.629999999999999;32.629999999999995;31.03;7.23
Real Sociedad;2017/18;232.95;25.5;53.0;27.5;78.5;48.9;9.14
Real Sociedad;2018/19;300.95;12.0;32.8;20.799999999999997;44.8;29.19;25.08
Real Sociedad;2019/20;347.55;31.75;9.5;-22.25;41.25;15.48;10.95
Real Sociedad;2020/21;406.6;10.0;28.25;18.25;38.25;16.99;40.66
Real Sociedad;2021/22;376.95;2.5;0.96;-1.54;3.46;-7.29;150.78
Real Sociedad;2022/23;441.7;55.0;88.0;33.0;143.0;17.18;8.03
Real Sociedad;2023/24;498.5;20.4;17.8;-2.599999999999998;38.2;12.86;24.44
Real Sociedad;2024/25;345.05;45.2;71.35;26.14999999999999;116.55;-30.78;7.63
Sevilla FC;2015/16;230.3;44.0;61.45;17.450000000000003;105.45;0.0;5.23
Sevilla FC;2016/17;270.1;81.7;93.45;11.75;175.15;17.28;3.31
Sevilla FC;2017/18;253.2;78.05;81.6;3.549999999999997;159.64999999999998;-6.26;3.24
Sevilla FC;2018/19;306.3;81.05;93.8;12.75;174.85;20.97;3.78
Sevilla FC;2019/20;294.75;188.73;131.4;-57.329999999999984;320.13;-3.77;1.56
Sevilla FC;2020/21;418.25;74.35;19.68;-54.669999999999995;94.03;41.9;5.63
Sevilla FC;2021/22;385.0;41.5;28.5;-13.0;70.0;-7.95;9.28
Sevilla FC;2022/23;232.58;30.4;91.5;61.1;121.9;-39.59;7.65
Sevilla FC;2023/24;228.75;32.0;26.6;-5.399999999999999;58.6;-1.65;7.15
Sevilla FC;2024/25;183.9;20.0;32.85;12.850000000000001;52.85;-19.61;9.2
Valencia CF;2015/16;254.0;143.9;50.0;-93.9;193.9;0.0;1.77
Valencia CF;2016/17;257.5;36.0;121.9;85.9;157.9;1.38;7.15
Valencia CF;2017/18;398.05;55.0;16.55;-38.45;71.55;54.58;7.24
Valencia CF;2018/19;499.65;129.2;68.8;-60.39999999999999;198.0;25.52;3.87
Valencia CF;2019/20;427.8;75.0;56.3;-18.700000000000003;131.3;-14.38;5.7
Valencia CF;2020/21;278.85;0.05;88.85;88.8;88.89999999999999;-34.82;5577.0
Valencia CF;2021/22;310.6;16.35;2.7;-13.650000000000002;19.05;11.39;19.0
Valencia CF;2022/23;249.78;12.5;54.6;42.1;67.1;-19.58;19.98
Valencia CF;2023/24;244.73;10.4;28.9;18.5;39.3;-2.02;23.53
Valencia CF;2024/25;215.56;2.87;30.0;27.13;32.87;-11.92;75.11
Villarreal CF;2015/16;140.6;47.2;37.56;-9.64;84.76;0.0;2.98
Villarreal CF;2016/17;190.7;55.95;67.25;11.299999999999997;123.2;35.63;3.41
Villarreal CF;2017/18;220.0;46.1;68.0;21.9;114.1;15.36;4.77
Villarreal CF;2018/19;230.65;92.9;54.8;-38.10000000000001;147.7;4.84;2.48
Villarreal CF;2019/20;208.68;45.8;69.3;23.5;115.1;-9.53;4.56
Villarreal CF;2020/21;292.6;37.84;26.65;-11.190000000000005;64.49000000000001;40.21;7.73
Villarreal CF;2021/22;408.9;54.5;15.34;-39.16;69.84;39.75;7.5
Villarreal CF;2022/23;363.5;6.48;31.6;25.12;38.08;-11.1;56.1
Villarreal CF;2023/24;252.5;12.5;113.0;100.5;125.5;-30.54;20.2
Villarreal CF;2024/25;264.25;69.0;74.5;5.5;143.5;4.65;3.83
